2018-Aug-03 16:13:40.190420 INFO    [daemon] Jyocoin v3.2.0.1000 ()
2018-Aug-03 16:13:40.190752 INFO    [daemon] Module folder: ./jyocoind
2018-Aug-03 16:13:40.192674 INFO    [RocksDBWrapper] Opening DB in /home/ubuntu/.Jyocoin/DB
2018-Aug-03 16:13:40.194048 INFO    [RocksDBWrapper] DB not found in /home/ubuntu/.Jyocoin/DB. Creating new DB...
2018-Aug-03 16:13:40.391318 INFO    [daemon] Initializing core...
2018-Aug-03 16:13:40.394261 INFO    [daemon] Core initialized OK
2018-Aug-03 16:13:40.394584 INFO    [daemon] Initializing p2p server...
2018-Aug-03 16:13:40.394840 INFO    [node_server] Generated new peer ID: 12243552040773652212
2018-Aug-03 16:13:40.394984 INFO    [node_server] Binding on 0.0.0.0:18546
2018-Aug-03 16:13:40.395167 INFO    [node_server] Net service binded on 0.0.0.0:18546
2018-Aug-03 16:13:40.395307 INFO    [node_server] Attempting to add IGD port mapping.
2018-Aug-03 16:13:41.472907 INFO    [node_server] Added IGD port mapping.
2018-Aug-03 16:13:41.473128 INFO    [daemon] P2p server initialized OK
2018-Aug-03 16:13:41.473485 INFO    [daemon] Starting core rpc server on address 127.0.0.1:18547
2018-Aug-03 16:13:41.473719 INFO    [daemon] Core rpc server started ok
2018-Aug-03 16:13:41.473888 INFO    [daemon] Starting p2p net loop...
2018-Aug-03 16:13:41.474036 INFO    [node_server] Starting node_server
2018-Aug-03 16:13:51.474965 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:14:03.475863 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:14:15.476755 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:14:27.477623 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:14:39.478433 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:14:51.479287 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:15:03.480136 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:15:15.481050 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:15:27.481985 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:15:39.482812 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:15:51.483678 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:16:03.484792 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:16:15.485672 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:16:27.486539 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:16:39.487417 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:16:51.488294 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:17:03.489215 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:17:15.490126 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:17:27.491027 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:17:39.491912 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:17:51.492765 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:18:03.493582 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:18:15.494409 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:18:27.495288 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:18:39.496163 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:18:51.496999 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:19:03.497875 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:19:15.498732 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:19:27.499600 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:19:39.500414 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:19:51.501297 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:20:03.502134 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:20:15.502991 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:20:27.503872 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:20:39.504696 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:20:51.505556 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:21:03.506428 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:21:15.507253 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:21:27.508165 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:21:39.508967 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:21:51.509824 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:22:03.510679 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:22:15.511448 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:22:27.512334 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:22:39.513186 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:22:51.514014 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:23:03.514862 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:23:15.515715 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:23:27.516585 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:23:39.517386 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:23:51.518193 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:24:03.519005 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:24:15.519862 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
